,sbfl_score
org.apache.commons.lang3.text.translate.LookupTranslator:78,0.06666666666666667
org.apache.commons.lang3.text.translate.LookupTranslator:79,0.06666666666666667
org.apache.commons.lang3.text.translate.LookupTranslator:75,0.04
org.apache.commons.lang3.text.translate.LookupTranslator:76,0.04
org.apache.commons.lang3.text.translate.LookupTranslator:77,0.04
org.apache.commons.lang3.text.translate.LookupTranslator:69,0.038461538461538464
org.apache.commons.lang3.text.translate.LookupTranslator:70,0.038461538461538464
org.apache.commons.lang3.text.translate.LookupTranslator:74,0.038461538461538464
org.apache.commons.lang3.text.translate.LookupTranslator:44,0.03225806451612903
org.apache.commons.lang3.text.translate.LookupTranslator:45,0.03225806451612903
