class:method:signature:line,sbfl_score
org.apache.commons.lang.builder.EqualsBuilder:append:(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang/builder/EqualsBuilder;:372,0.0625
org.apache.commons.lang.builder.EqualsBuilder:append:(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang/builder/EqualsBuilder;:381,0.05
org.apache.commons.lang.builder.EqualsBuilder:append:(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang/builder/EqualsBuilder;:368,0.021739130434782608
org.apache.commons.lang.builder.EqualsBuilder:append:(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang/builder/EqualsBuilder;:371,0.021739130434782608
org.apache.commons.lang.builder.EqualsBuilder:append:(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang/builder/EqualsBuilder;:374,0.021739130434782608
org.apache.commons.lang.builder.EqualsBuilder:append:(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang/builder/EqualsBuilder;:378,0.021739130434782608
org.apache.commons.lang.builder.EqualsBuilder:append:(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang/builder/EqualsBuilder;:379,0.021739130434782608
org.apache.commons.lang.builder.EqualsBuilder:append:(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang/builder/EqualsBuilder;:408,0.021739130434782608
org.apache.commons.lang.builder.EqualsBuilder:isEquals:()Z:831,0.016129032258064516
org.apache.commons.lang.builder.EqualsBuilder:<init>:()V:92,0.015873015873015872
org.apache.commons.lang.builder.EqualsBuilder:<init>:()V:100,0.015873015873015872
org.apache.commons.lang.builder.EqualsBuilder:<init>:()V:102,0.015873015873015872
