class:method:signature:line,sbfl_score
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1359,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1366,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1367,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1368,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1369,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1370,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1372,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1373,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1401,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1351,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1398,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1395,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1393,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1388,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1386,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1319,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1384,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1382,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1380,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1379,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1377,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1352,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1363,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1349,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1332,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1348,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1323,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1324,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1320,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1326,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1327,0.5
org.apache.commons.lang3.math.NumberUtils:isNumber:(Ljava/lang/String;)Z:1331,0.5
