class:method:signature:line,sbfl_score
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;)Ljava/lang/String;:3502,1.0
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3648,1.0
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3727,1.0
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3619,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3623,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3686,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3688,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3689,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3691,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3693,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3695,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3696,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3697,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3700,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3701,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3706,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3709,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3710,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3712,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3713,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3714,0.5
org.apache.commons.lang3.StringUtils:replaceEach:(Ljava/lang/String;[Ljava/lang/String;[Ljava/lang/String;ZI)Ljava/lang/String;:3721,0.5
